order_id,order_date,customer_id,customer_name,country,product_id,category,quantity,unit_price,payment_method,order_status,platform
WEB-10001,2026-05-31,CUST-348,Michael Harding,CA,PROD-017,Clothing,2,76.24,Debit Card,Completed,Mobile Web
WEB-10002,2025-10-19,CUST-239,Anna Johnson,DE,PROD-067,Clothing,1,27.39,PayPal,Completed,Mobile Web
WEB-10003,2026-01-12,CUST-143,James Carroll,US,PROD-096,Electronics,1,308.09,Credit Card,Completed,Mobile Web
WEB-10004,2026-01-03,CUST-282,Theresa Pugh,DE,PROD-093,Home,5,74.83,PayPal,Returned,Desktop Web
WEB-10005,2026-06-24,CUST-316,Jane Moreno,FR,PROD-056,Electronics,2,556.49,Debit Card,Cancelled,Desktop Web
WEB-10006,2026-06-11,CUST-140,James Stephenson,US,PROD-041,Electronics,5,445.27,Credit Card,Cancelled,Mobile Web
WEB-10007,2026-08-20,CUST-162,Tyler Sampson,FR,PROD-052,Clothing,1,41.55,PayPal,Returned,Mobile Web
WEB-10008,2025-12-09,CUST-268,Catherine Navarro,CA,PROD-001,Electronics,3,722.81,Debit Card,Cancelled,Desktop Web
WEB-10009,2026-02-27,CUST-325,Andrea Copeland,US,PROD-061,Electronics,2,390.1,UPI,Completed,Mobile Web
WEB-10010,2026-05-23,CUST-235,John Hood,IN,PROD-094,Books,1,41.66,Debit Card,Returned,Mobile Web
WEB-10011,2026-07-25,CUST-216,John Schmidt,DE,PROD-062,Clothing,4,41.24,Debit Card,Returned,Mobile App
WEB-10012,2025-11-12,CUST-177,Audrey Hart,DE,PROD-085,Sports,2,47.53,UPI,Cancelled,Mobile Web
WEB-10013,2026-05-26,,Amy Cole,FR,PROD-042,Clothing,2,50.39,UPI,Returned,Desktop Web
WEB-10014,2026-08-11,CUST-297,Sarah Johnson,CA,PROD-037,Clothing,2,33.36,PayPal,Completed,Mobile App
WEB-10015,2026-04-04,CUST-107,Tonya Owen,US,PROD-087,Clothing,3,37.09,Credit Card,Completed,Mobile App
WEB-10016,2025-11-09,CUST-236,James Chambers,UK,PROD-047,Clothing,3,19.94,Debit Card,Cancelled,Mobile Web
WEB-10017,2026-06-19,CUST-396,Mr. Tristan Ward,FR,PROD-050,Sports,5,54.44,Debit Card,Cancelled,Mobile Web
WEB-10018,2026-08-14,CUST-196,Marvin Berry,IN,PROD-023,Home,2,147.45,Credit Card,Returned,Mobile App
WEB-10019,2026-08-16,CUST-165,Kim Henderson,DE,PROD-021,Electronics,2,752.77,UPI,Returned,Mobile App
WEB-10020,2026-06-21,CUST-272,Tiffany Reeves,FR,PROD-078,Home,3,248.99,UPI,Returned,Mobile App
WEB-10021,2025-12-21,CUST-331,Steven Walsh,UK,PROD-025,Sports,3,120.1,Credit Card,Completed,Mobile Web
WEB-10022,2026-06-13,CUST-159,Rachel Dean,UK,PROD-025,Sports,3,78.15,Debit Card,Completed,Mobile Web
WEB-10023,2026-07-23,CUST-258,Nicole Ortiz,FR,PROD-011,Electronics,3,54.57,Credit Card,Completed,Desktop Web
WEB-10024,2025-10-15,CUST-178,Gary Harris,US,PROD-045,Sports,3,293.91,PayPal,Returned,Mobile App
WEB-10025,2025-10-06,CUST-124,John Hughes,CA,PROD-048,Home,3,75.27,PayPal,Returned,Mobile App
WEB-10026,2025-11-05,CUST-233,Steve Rosales,DE,PROD-094,Books,5,15.77,UPI,Completed,Mobile Web
WEB-10027,2026-01-20,CUST-162,David Jackson,FR,PROD-048,Home,5,243.46,UPI,Cancelled,Desktop Web
WEB-10028,2026-02-05,CUST-154,Diane Willis,IN,PROD-009,Books,4,22.33,UPI,Completed,Mobile Web
WEB-10029,2025-11-23,CUST-153,Austin Levy,CA,PROD-017,Clothing,5,16.72,PayPal,Completed,Desktop Web
WEB-10030,2026-08-23,CUST-270,Courtney Smith,FR,PROD-056,Electronics,1,631.19,Credit Card,Returned,Mobile Web
WEB-10031,2026-05-12,CUST-123,Theresa Clarke,US,PROD-041,Electronics,1,282.04,Debit Card,Returned,Desktop Web
WEB-10032,2026-09-09,CUST-400,John Andrade,US,PROD-007,Clothing,1,108.95,UPI,Completed,Mobile Web
WEB-10033,2025-12-02,CUST-186,Timothy Hamilton,CA,PROD-021,Electronics,3,613.93,Credit Card,Cancelled,Mobile App
WEB-10034,2026-08-21,CUST-119,Todd Smith,DE,PROD-097,Clothing,4,102.23,Debit Card,Returned,Mobile Web
WEB-10035,2026-04-18,CUST-297,Susan Brown,US,PROD-033,Home,3,204.35,Debit Card,Cancelled,Mobile App
WEB-10036,2026-02-15,CUST-319,Mr. Keith Norton MD,IN,PROD-058,Home,1,137.84,Credit Card,Returned,Desktop Web
WEB-10037,2026-02-07,CUST-291,Sarah Gray,IN,PROD-083,Home,1,170.0,PayPal,Cancelled,Mobile Web
WEB-10038,2026-05-20,CUST-268,Amy Hopkins,UK,PROD-076,Electronics,1,543.36,Debit Card,Cancelled,Mobile App
WEB-10039,2026-03-05,CUST-157,Margaret Rivera,US,PROD-057,Clothing,3,101.21,UPI,Completed,Mobile App
WEB-10040,2025-12-03,CUST-222,Terri Quinn,US,PROD-075,Sports,3,203.86,Debit Card,Completed,Mobile App
WEB-10041,2025-09-29,CUST-142,Regina Richardson,CA,PROD-099,Books,1,34.73,Credit Card,Cancelled,Desktop Web
WEB-10042,2026-04-17,CUST-117,Nathan Wallace,FR,PROD-080,Sports,1,283.02,Credit Card,Cancelled,Mobile App
WEB-10043,2026-01-08,CUST-275,Nicholas Jones,UK,PROD-039,Books,2,18.67,Debit Card,Cancelled,Mobile Web
WEB-10044,2026-05-11,CUST-195,Michael Stokes,FR,PROD-003,Home,2,154.1,Credit Card,Returned,Desktop Web
WEB-10045,2026-01-05,CUST-233,Jordan Lambert,IN,PROD-069,Books,1,23.07,Debit Card,Returned,Mobile App
WEB-10046,2026-07-01,CUST-131,Dr. Courtney Wilson,AU,PROD-098,Home,5,211.77,Credit Card,Completed,Mobile App
WEB-10047,2025-11-07,CUST-199,Greg Potter,AU,PROD-040,Sports,5,105.94,Debit Card,Cancelled,Mobile Web
WEB-10048,2026-04-23,CUST-285,Cody Miller,DE,PROD-078,Home,3,220.33,PayPal,Completed,Mobile App
WEB-10049,2026-08-24,CUST-342,Brenda Hunter,FR,PROD-080,Sports,1,223.93,Credit Card,Cancelled,Mobile Web
WEB-10050,2026-05-21,CUST-109,Sarah Bradshaw,FR,PROD-001,Electronics,3,582.69,Debit Card,Completed,Mobile Web
WEB-10051,2026-09-04,CUST-172,Timothy Lewis,FR,PROD-055,Sports,3,244.9,PayPal,Cancelled,Mobile App
WEB-10052,2026-02-15,CUST-187,Victor Camacho,AU,PROD-015,Sports,2,73.85,UPI,Returned,Mobile Web
WEB-10053,2026-10-03,CUST-242,Eddie Valdez,CA,PROD-026,Electronics,5,248.46,Credit Card,Cancelled,Mobile App
WEB-10054,2025-11-22,CUST-113,Sean Young,UK,PROD-028,Home,1,133.64,PayPal,Returned,Mobile Web
WEB-10055,2026-04-22,CUST-384,Sherry Harris,FR,PROD-002,Clothing,5,23.14,PayPal,Cancelled,Mobile App
WEB-10056,2026-01-10,CUST-217,Amanda Morrison,DE,PROD-093,Home,4,61.5,Credit Card,Returned,Mobile App
WEB-10057,2026-04-19,CUST-281,Heather Turner,CA,PROD-050,Sports,3,245.36,Credit Card,Cancelled,Mobile App
WEB-10058,2026-01-16,CUST-268,Scott King,DE,PROD-078,Home,4,206.93,Credit Card,Cancelled,Mobile Web
WEB-10059,2026-01-24,CUST-310,Elizabeth Rowe,AU,PROD-087,Clothing,2,16.43,UPI,Returned,Desktop Web
WEB-10060,2025-10-21,CUST-259,Daniel Craig,UK,PROD-020,Sports,5,64.13,PayPal,Completed,Mobile Web
WEB-10061,2026-02-22,CUST-140,Linda Ware,UK,PROD-003,Home,3,164.48,UPI,Returned,Desktop Web
WEB-10062,2026-03-14,CUST-215,Keith Patel,AU,PROD-091,Electronics,3,333.29,Debit Card,Cancelled,Mobile App
WEB-10063,2026-08-13,CUST-227,Richard West,UK,PROD-061,Electronics,4,407.22,Debit Card,Completed,Mobile App
WEB-10064,2026-03-28,CUST-204,Joseph Mitchell,FR,PROD-068,Home,5,50.42,PayPal,Cancelled,Mobile Web
WEB-10065,2026-03-02,CUST-281,Tammy Williams,AU,PROD-092,Clothing,1,118.52,UPI,Cancelled,Mobile App
WEB-10066,2026-04-20,CUST-150,Andrew Mccann,UK,PROD-035,Sports,2,38.27,PayPal,Completed,Desktop Web
WEB-10067,2025-11-23,CUST-267,Lisa Wade,CA,PROD-046,Electronics,2,543.65,UPI,Returned,Desktop Web
WEB-10068,2026-03-09,CUST-399,Kristin Chandler,US,PROD-006,Electronics,1,692.8,UPI,Completed,Mobile App
WEB-10069,2026-01-18,CUST-264,Tracy Parker,AU,PROD-017,Clothing,4,105.74,UPI,Returned,Desktop Web
WEB-10070,2026-06-05,CUST-384,Mary Lambert,FR,PROD-011,Electronics,5,169.42,Debit Card,Completed,Mobile App
WEB-10071,2025-12-09,CUST-272,Derek Oneal,US,PROD-038,Home,1,114.16,PayPal,Completed,Mobile Web
WEB-10072,2026-08-25,CUST-322,Daniel Gonzalez,AU,PROD-074,Books,5,18.25,UPI,Returned,Mobile Web
WEB-10073,2026-06-01,CUST-281,Sarah Prince,AU,PROD-047,Clothing,4,106.63,Debit Card,Cancelled,Mobile Web
WEB-10074,2025-12-07,CUST-370,Carolyn Jordan,IN,PROD-026,Electronics,4,661.53,UPI,Cancelled,Mobile Web
WEB-10075,2025-11-30,,Allen Walsh,FR,PROD-043,Home,2,177.93,UPI,Completed,Mobile Web
WEB-10076,2026-06-28,CUST-107,Daniel Lawson,IN,PROD-026,Electronics,4,331.51,UPI,Cancelled,Desktop Web
WEB-10077,2026-07-18,CUST-272,Ashley Howell,IN,PROD-008,Home,4,24.39,Debit Card,Completed,Mobile Web
